## dpkg packages
7zip	25.01+dfsg-1~deb13u1
libglx-mesa0:arm64	25.0.7-2+rpt4
libglx0:arm64	1.7.0-1+b2
libgmp10:arm64	2:6.3.0+dfsg-3
libgnutls30t64:arm64	3.8.9-3+deb13u2
libgomp1:arm64	14.2.0-19
libgpg-error-l10n	1.51-4
libgpg-error0:arm64	1.51-4
libgpgme11t64:arm64	1.24.2-3
libgpiod3:arm64	2.2.1-2+deb13u1
libgpiolib0:arm64	20260304+1-1
libgprofng0:arm64	2.44-3
libgraphite2-3:arm64	1.3.14-2+b1
libgssapi-krb5-2:arm64	1.21.3-5
libgudev-1.0-0:arm64	238-6
libharfbuzz0b:arm64	10.2.0-1+b1
libhidapi-hidraw0:arm64	0.14.0-1+b2
libhogweed6t64:arm64	3.10.1-1
libhwasan0:arm64	14.2.0-19
libice6:arm64	2:1.1.1-1
libicu76:arm64	76.1-4
libidn2-0:arm64	2.3.8-2
libimagequant0:arm64	2.18.0-1+b2
libinotifytools0:arm64	4.23.9.0-2+b1
libisl23:arm64	0.27-1
libitm1:arm64	14.2.0-19
libiw30t64:arm64	30~pre9-18+b1
libjansson4:arm64	2.14-2+b3
libjaylink0:arm64	0.4.0-1
libjbig0:arm64	2.1-6.1+b2
libjim0.83:arm64	0.83-2
libjpeg62-turbo:arm64	1:2.1.5-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc	8.1.3-5
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:arm64	0.18+ds-1
libk5crypto3:arm64	1.21.3-5
libkeyutils1:arm64	1.6.3-6
libklibc:arm64	2.0.14-1
libkmod2:arm64	34.2-2
libkms++0:arm64	0~git20250807.1813ada-1
libkrb5-3:arm64	1.21.3-5
libkrb5support0:arm64	1.21.3-5
libksba8:arm64	1.6.7-2+b1
liblapack3:arm64	3.12.1-6
liblastlog2-2:arm64	2.41-5
liblcms2-2:arm64	2.16-2+deb13u2
libldap-common	2.6.10+dfsg-1
libldap2:arm64	2.6.10+dfsg-1
liblerc4:arm64	4.0.0+ds-5
liblgpio1:arm64	0.2.2-1~rpt1+trixie
libllvm19:arm64	1:19.1.7-3+b1
liblocale-gettext-perl	1.07-7+b1
liblsan0:arm64	14.2.0-19
liblttng-ust-common1t64:arm64	2.13.9-1
liblttng-ust-ctl5t64:arm64	2.13.9-1
liblttng-ust1t64:arm64	2.13.9-1
libluajit-5.1-2:arm64	2.1.0+openresty20250117-2
libluajit-5.1-common	2.1.0+openresty20250117-2
liblz4-1:arm64	1.10.0-4
liblzma5:arm64	5.8.1-1
libmagic-mgc	1:5.46-5
libmagic1t64:arm64	1:5.46-5
libmatroska7:arm64	1.7.1-1+b2
libmd0:arm64	1.1.0-2+b1
libmm-glib0:arm64	1.24.0-1+deb13u1
libmnl0:arm64	1.0.5-3
libmount1:arm64	2.41-5
libmpc3:arm64	1.3.1-1+b3
libmpfr6:arm64	4.2.2-1
libmtdev1t64:arm64	1.1.7-1
libmtp-common	1.1.22-1
libmtp-runtime	1.1.22-1
libmtp9t64:arm64	1.1.22-1
libncursesw6:arm64	6.5+20250216-2
libndp0:arm64	1.9-1+b1
libnetfilter-conntrack3:arm64	1.1.0-1
